figure_id,current_label,main_or_supplement,template_source_type,template_source_path_or_placeholder,image_dimensions,aspect_ratio,font_family_detected_if_possible,legend_position_detected_if_possible,panel_layout_detected_if_possible,status,notes,accepted_template_reference,source_script_candidate,source_data_candidate,regenerated_candidate_file,generator_function,template_lock_status,rejected_candidate_files,rejected_candidates_excluded,post_run_visual_review_required,generation_status
seasonal_personal_pm_distributions,Figure 1,main,embedded_docx_image,figures/approved_references/main/Figure 1 - seasonal_personal_pm_distributions.png,6523x2197,2.969,not_detected_from_raster,requires_visual_template_review,requires_visual_template_review,RESOLVED,Accepted current manuscript/SM template reference; raster fidelity requires post-run visual review.,figures/approved_references/main/Figure 1 - seasonal_personal_pm_distributions.png,scripts/generate_manuscript_figures.py; src/raise_icarus/figures.py,results/exposure/Figure 1 data - Seasonal personal PM distributions.csv,,generate_seasonal_personal_pm_distributions,SCRIPT_AVAILABLE,,yes,yes,READY_FOR_USER_POWERSHELL_RUN_PENDING_USER_RUN
activity_stratified_personal_pm_exposure,Figure 2,main,embedded_docx_image,figures/approved_references/main/Figure 2 - activity_stratified_personal_pm_exposure.png,1704x923,1.846,not_detected_from_raster,requires_visual_template_review,requires_visual_template_review,RESOLVED,Accepted current manuscript/SM template reference; raster fidelity requires post-run visual review.,figures/approved_references/main/Figure 2 - activity_stratified_personal_pm_exposure.png,scripts/generate_manuscript_figures.py; src/raise_icarus/figures.py,results/exposure/Figure 2 data - Activity-stratified personal PM exposure.csv,,generate_activity_stratified_personal_pm_exposure,SCRIPT_AVAILABLE,,yes,yes,READY_FOR_USER_POWERSHELL_RUN_PENDING_USER_RUN
residential_uhoo_iaq_correlation_matrix,Figure 3,main,embedded_docx_image,figures/approved_references/main/Figure 3 - residential_uhoo_iaq_correlation_matrix.png,5783x5245,1.103,not_detected_from_raster,requires_visual_template_review,requires_visual_template_review,RESOLVED,Accepted current manuscript/SM template reference; raster fidelity requires post-run visual review.,figures/approved_references/main/Figure 3 - residential_uhoo_iaq_correlation_matrix.png,scripts/generate_manuscript_figures.py; src/raise_icarus/figures.py,results/validation/Figure 3 data - Residential uHoo IAQ correlation matrix.csv,,generate_residential_uhoo_iaq_correlation_matrix,SCRIPT_AVAILABLE,,yes,yes,READY_FOR_USER_POWERSHELL_RUN_PENDING_USER_RUN
uhoo_iaq_garmin_sleep_correlation_matrix,Figure 4,main,embedded_docx_image,figures/approved_references/main/Figure 4 - uhoo_iaq_garmin_sleep_correlation_matrix.png,6080x4151,1.465,not_detected_from_raster,requires_visual_template_review,requires_visual_template_review,RESOLVED,Accepted current manuscript/SM template reference; raster fidelity requires post-run visual review.,figures/approved_references/main/Figure 4 - uhoo_iaq_garmin_sleep_correlation_matrix.png,scripts/generate_manuscript_figures.py; src/raise_icarus/figures.py,results/sleep/Figure 4 data - uHoo IAQ Garmin sleep correlation matrix.csv,,generate_uhoo_iaq_sleep_correlation_matrix,SCRIPT_AVAILABLE,,yes,yes,READY_FOR_USER_POWERSHELL_RUN_PENDING_USER_RUN
hia_attributable_cases,Figure 5,main,embedded_docx_image,figures/approved_references/main/Figure 5 - hia_attributable_cases.png,5444x2489,2.187,not_detected_from_raster,requires_visual_template_review,requires_visual_template_review,RESOLVED,Accepted current manuscript/SM template reference; raster fidelity requires post-run visual review.,figures/approved_references/main/Figure 5 - hia_attributable_cases.png,scripts/generate_manuscript_figures.py; src/raise_icarus/figures.py,results/hia/Figure 5 data - HIA attributable cases.csv,,generate_hia_attributable_cases,SCRIPT_AVAILABLE,,yes,yes,READY_FOR_USER_POWERSHELL_RUN_PENDING_USER_RUN
yll_scenario_outputs,Figure 6,main,embedded_docx_image,figures/approved_references/main/Figure 6 - yll_scenario_outputs.png,11933x5021,2.377,not_detected_from_raster,requires_visual_template_review,requires_visual_template_review,RESOLVED,Accepted current manuscript/SM template reference; raster fidelity requires post-run visual review.,figures/approved_references/main/Figure 6 - yll_scenario_outputs.png,scripts/generate_manuscript_figures.py; src/raise_icarus/figures.py,results/yll/Figure 6 data - YLL scenario outputs.csv,,generate_yll_scenario_outputs,SCRIPT_AVAILABLE,,yes,yes,READY_FOR_USER_POWERSHELL_RUN_PENDING_USER_RUN
participant_flow_completeness_summary,Supplementary Figure S1,supplementary,standalone_png,figures/approved_references/supplementary/Supplementary Figure S1 - participant_flow_completeness_summary.png,1491x893,1.670,not_detected_from_raster,requires_visual_template_review,requires_visual_template_review,RESOLVED,Accepted current manuscript/SM template reference; raster fidelity requires post-run visual review.,figures/approved_references/supplementary/Supplementary Figure S1 - participant_flow_completeness_summary.png,scripts/generate_manuscript_figures.py; src/raise_icarus/figures.py,results/denominators/Supplementary Figure S1 data - Participant flow completeness summary.csv,,generate_participant_flow_completeness_summary,SCRIPT_AVAILABLE,,yes,yes,READY_FOR_USER_POWERSHELL_RUN_PENDING_USER_RUN
diurnal_pm_hr_stress,Supplementary Figure S2,supplementary,embedded_docx_image,figures/approved_references/supplementary/Supplementary Figure S2 - diurnal_pm_hr_stress.png,9637x7059,1.365,not_detected_from_raster,requires_visual_template_review,requires_visual_template_review,RESOLVED,Accepted current manuscript/SM template reference; raster fidelity requires post-run visual review.,figures/approved_references/supplementary/Supplementary Figure S2 - diurnal_pm_hr_stress.png,scripts/generate_manuscript_figures.py; src/raise_icarus/figures.py,results/lag_models/Supplementary Figure S2 data - Diurnal PM heart-rate stress distributions.csv,,generate_diurnal_pm_hr_stress,SCRIPT_AVAILABLE,,yes,yes,READY_FOR_USER_POWERSHELL_RUN_PENDING_USER_RUN
seasonal_garmin_sleep_distributions,Supplementary Figure S3,supplementary,embedded_docx_image,figures/approved_references/supplementary/Supplementary Figure S3 - seasonal_garmin_sleep_distributions.png,5751x2846,2.021,not_detected_from_raster,requires_visual_template_review,requires_visual_template_review,RESOLVED,Accepted current manuscript/SM template reference; raster fidelity requires post-run visual review.,figures/approved_references/supplementary/Supplementary Figure S3 - seasonal_garmin_sleep_distributions.png,scripts/generate_manuscript_figures.py; src/raise_icarus/figures.py,results/sleep/Supplementary Figure S3 data - Seasonal Garmin sleep distributions.csv,,generate_seasonal_garmin_sleep_distributions,SCRIPT_AVAILABLE,,yes,yes,READY_FOR_USER_POWERSHELL_RUN_PENDING_USER_RUN
ppm_garmin_correlation_matrix,Supplementary Figure S4,supplementary,embedded_docx_image,figures/approved_references/supplementary/Supplementary Figure S4 - ppm_garmin_correlation_matrix.png,1430x555,2.577,not_detected_from_raster,requires_visual_template_review,requires_visual_template_review,RESOLVED,Accepted current manuscript/SM template reference; raster fidelity requires post-run visual review.,figures/approved_references/supplementary/Supplementary Figure S4 - ppm_garmin_correlation_matrix.png,scripts/generate_manuscript_figures.py; src/raise_icarus/figures.py,results/validation/Supplementary Figure S4 data - PPM Garmin correlation matrix.csv,,generate_ppm_garmin_correlation_matrix,SCRIPT_AVAILABLE,,yes,yes,READY_FOR_USER_POWERSHELL_RUN_PENDING_USER_RUN
descriptive_ols_pm_hr_lag,Supplementary Figure S5,supplementary,embedded_docx_image,figures/approved_references/supplementary/Supplementary Figure S5 - descriptive_ols_pm_hr_lag.png,1406x1776,0.792,not_detected_from_raster,requires_visual_template_review,requires_visual_template_review,RESOLVED,Accepted current manuscript/SM template reference; raster fidelity requires post-run visual review.,figures/approved_references/supplementary/Supplementary Figure S5 - descriptive_ols_pm_hr_lag.png,scripts/generate_manuscript_figures.py; src/raise_icarus/figures.py,results/lag_models/Supplementary Figure S5 data - Descriptive OLS PM heart-rate lag scatterplots.csv,,generate_descriptive_ols_pm_hr_lag,SCRIPT_AVAILABLE,,yes,yes,READY_FOR_USER_POWERSHELL_RUN_PENDING_USER_RUN
ols_vs_lag_mixed_comparison,Supplementary Figure S6,supplementary,embedded_docx_image,figures/approved_references/supplementary/Supplementary Figure S6 - ols_vs_lag_mixed_comparison.png,1429x442,3.233,not_detected_from_raster,requires_visual_template_review,requires_visual_template_review,RESOLVED,Accepted current manuscript/SM template reference; raster fidelity requires post-run visual review.,figures/approved_references/supplementary/Supplementary Figure S6 - ols_vs_lag_mixed_comparison.png,scripts/generate_manuscript_figures.py; src/raise_icarus/figures.py,results/lag_models/Supplementary Figure S6 data - OLS mixed-effects comparison.csv,,generate_ols_vs_lag_mixed_comparison,SCRIPT_AVAILABLE,,yes,yes,READY_FOR_USER_POWERSHELL_RUN_PENDING_USER_RUN
iaq_sleep_regression_panels,Supplementary Figure S7,supplementary,embedded_docx_image,figures/approved_references/supplementary/Supplementary Figure S7 - iaq_sleep_regression_panels.png,37831x13030,2.903,not_detected_from_raster,requires_visual_template_review,requires_visual_template_review,RESOLVED,Accepted current manuscript/SM template reference; raster fidelity requires post-run visual review.,figures/approved_references/supplementary/Supplementary Figure S7 - iaq_sleep_regression_panels.png,scripts/generate_manuscript_figures.py; src/raise_icarus/figures.py,results/sleep/Supplementary Figure S7 data - IAQ sleep regression panels.csv,,generate_iaq_sleep_regression_panels,SCRIPT_AVAILABLE,,yes,yes,READY_FOR_USER_POWERSHELL_RUN_PENDING_USER_RUN
stress_sleep_exploratory_panels,Supplementary Figure S8,supplementary,embedded_docx_image,figures/approved_references/supplementary/Supplementary Figure S8 - stress_sleep_exploratory_panels.png,6334x2681,2.363,not_detected_from_raster,requires_visual_template_review,requires_visual_template_review,RESOLVED,Accepted current manuscript/SM template reference; raster fidelity requires post-run visual review.,figures/approved_references/supplementary/Supplementary Figure S8 - stress_sleep_exploratory_panels.png,scripts/generate_manuscript_figures.py; src/raise_icarus/figures.py,results/sleep/Supplementary Figure S8 data - Stress sleep exploratory panels.csv,,generate_stress_sleep_exploratory_panels,SCRIPT_AVAILABLE,,yes,yes,READY_FOR_USER_POWERSHELL_RUN_PENDING_USER_RUN
