city,season,pollutant,source_device,unit,mean,median,q1,q3,n_observations,n_participants,status
Milan,Summer,PM1,ICARUS PPM,ug/m3,17.64208742538137,14.0,9.0,23.1,745536,54,PASS
Milan,Summer,PM2.5,ICARUS PPM,ug/m3,24.173104940503652,19.066666666666666,11.8,31.6,745536,54,PASS
Milan,Summer,PM10,ICARUS PPM,ug/m3,25.299610501053618,20.0,12.0,32.4,745536,54,PASS
Milan,Winter,PM1,ICARUS PPM,ug/m3,25.551158167778638,21.418095238095237,12.0,34.6,821911,45,PASS
Milan,Winter,PM2.5,ICARUS PPM,ug/m3,35.560879788618415,30.2,17.551470588235297,47.4,821911,45,PASS
Milan,Winter,PM10,ICARUS PPM,ug/m3,37.76281776330464,32.4,18.41176470588235,50.6,821911,45,PASS
Thessaloniki,Summer,PM1,ICARUS PPM,ug/m3,16.713464352874162,14.0,10.2,18.0,1064761,51,PASS
Thessaloniki,Summer,PM2.5,ICARUS PPM,ug/m3,22.315954211000754,18.2,13.0,24.8,1064761,51,PASS
Thessaloniki,Summer,PM10,ICARUS PPM,ug/m3,24.160142490951245,19.0,13.6,26.2,1064761,51,PASS
Thessaloniki,Winter,PM1,ICARUS PPM,ug/m3,24.75306639211182,20.4,11.6,32.2,860722,57,PASS
Thessaloniki,Winter,PM2.5,ICARUS PPM,ug/m3,35.46377039346512,29.2,18.0,46.96,860722,57,PASS
Thessaloniki,Winter,PM10,ICARUS PPM,ug/m3,37.504401492101245,31.0,19.0,51.06666666666666,860722,57,PASS
