activity,city,season,pollutant,source_device,unit,mean,median,q1,q3,n_observations,n_participants,status
RUNNING,Milan,Summer,PM1,ICARUS PPM,ug/m3,14.951064990113695,13.0,8.0,20.0,1700,46,PASS
RUNNING,Milan,Summer,PM2.5,ICARUS PPM,ug/m3,20.48036218825388,16.0,10.4,28.725,1700,46,PASS
RUNNING,Milan,Summer,PM10,ICARUS PPM,ug/m3,21.622075986383855,17.0,10.0,29.650000000000002,1700,46,PASS
RUNNING,Milan,Winter,PM1,ICARUS PPM,ug/m3,28.165554535687836,25.0,17.5,40.0,1873,34,PASS
RUNNING,Milan,Winter,PM2.5,ICARUS PPM,ug/m3,38.63807049915827,35.0,24.0,55.986666666666665,1873,34,PASS
RUNNING,Milan,Winter,PM10,ICARUS PPM,ug/m3,41.65259166653362,38.0,26.6,58.4,1873,34,PASS
RUNNING,Thessaloniki,Summer,PM1,ICARUS PPM,ug/m3,17.05430701430838,15.0,10.4,19.6,1940,40,PASS
RUNNING,Thessaloniki,Summer,PM2.5,ICARUS PPM,ug/m3,21.820441956984297,19.0,13.0,26.0,1940,40,PASS
RUNNING,Thessaloniki,Summer,PM10,ICARUS PPM,ug/m3,22.737017558781126,20.0,14.0,27.0,1940,40,PASS
RUNNING,Thessaloniki,Winter,PM1,ICARUS PPM,ug/m3,19.372154493464,13.0,8.146666666666667,22.4,1531,31,PASS
RUNNING,Thessaloniki,Winter,PM2.5,ICARUS PPM,ug/m3,26.109929119070205,18.6,12.8,29.0,1531,31,PASS
RUNNING,Thessaloniki,Winter,PM10,ICARUS PPM,ug/m3,27.297443547634604,19.0,13.0,29.4,1531,31,PASS
SEDENTARY,Milan,Summer,PM1,ICARUS PPM,ug/m3,18.497525638428044,14.8,9.0,24.2,510636,53,PASS
SEDENTARY,Milan,Summer,PM2.5,ICARUS PPM,ug/m3,25.428667049139204,20.0,11.8,33.5,510636,53,PASS
SEDENTARY,Milan,Summer,PM10,ICARUS PPM,ug/m3,26.5751911642099,21.0,12.0,35.0,510636,53,PASS
SEDENTARY,Milan,Winter,PM1,ICARUS PPM,ug/m3,27.253263428675016,24.0,13.0,35.9,328296,36,PASS
SEDENTARY,Milan,Winter,PM2.5,ICARUS PPM,ug/m3,37.492357429718886,33.6,18.4,51.0,328296,36,PASS
SEDENTARY,Milan,Winter,PM10,ICARUS PPM,ug/m3,40.0284804596339,36.2,20.0,54.0,328296,36,PASS
SEDENTARY,Thessaloniki,Summer,PM1,ICARUS PPM,ug/m3,19.328210918664762,13.8,10.0,17.8,408968,45,PASS
SEDENTARY,Thessaloniki,Summer,PM2.5,ICARUS PPM,ug/m3,24.056952525942805,17.8,13.0,23.46666666666667,408968,45,PASS
SEDENTARY,Thessaloniki,Summer,PM10,ICARUS PPM,ug/m3,26.75258174884108,18.8,14.0,25.2,408968,45,PASS
SEDENTARY,Thessaloniki,Winter,PM1,ICARUS PPM,ug/m3,20.88817945637888,14.2,9.0,26.0,290405,34,PASS
SEDENTARY,Thessaloniki,Winter,PM2.5,ICARUS PPM,ug/m3,28.3521171318208,21.0,13.0,37.0,290405,34,PASS
SEDENTARY,Thessaloniki,Winter,PM10,ICARUS PPM,ug/m3,29.417745544923665,21.4,13.5,38.6,290405,34,PASS
WALKING,Milan,Summer,PM1,ICARUS PPM,ug/m3,18.581830241833433,14.4,8.6,24.4,54099,53,PASS
WALKING,Milan,Summer,PM2.5,ICARUS PPM,ug/m3,25.91577304199652,20.0,11.4,33.0,54099,53,PASS
WALKING,Milan,Summer,PM10,ICARUS PPM,ug/m3,27.11212891532744,21.0,12.0,35.0,54099,53,PASS
WALKING,Milan,Winter,PM1,ICARUS PPM,ug/m3,27.61251389919298,24.5,13.4,36.93333333333333,37576,36,PASS
WALKING,Milan,Winter,PM2.5,ICARUS PPM,ug/m3,38.10886802415083,34.0,18.8,52.5,37576,36,PASS
WALKING,Milan,Winter,PM10,ICARUS PPM,ug/m3,40.94865329286411,37.2,20.63921568627451,56.0,37576,36,PASS
WALKING,Thessaloniki,Summer,PM1,ICARUS PPM,ug/m3,19.78762211837667,14.4,10.4,19.0,47217,44,PASS
WALKING,Thessaloniki,Summer,PM2.5,ICARUS PPM,ug/m3,25.879253145150784,19.0,14.0,26.742857142857144,47217,44,PASS
WALKING,Thessaloniki,Summer,PM10,ICARUS PPM,ug/m3,28.02021774001083,19.8,14.7,29.0,47217,44,PASS
WALKING,Thessaloniki,Winter,PM1,ICARUS PPM,ug/m3,22.70895673376715,16.0,9.4,28.0,33740,33,PASS
WALKING,Thessaloniki,Winter,PM2.5,ICARUS PPM,ug/m3,30.497898009479957,22.2,13.0,39.0,33740,33,PASS
WALKING,Thessaloniki,Winter,PM10,ICARUS PPM,ug/m3,31.673239364125678,23.0,14.0,41.0,33740,33,PASS
