outcome,pollutant,window_minutes,model_type,beta_per_1ug,se_per_1ug,ci_low_per_1ug,ci_high_per_1ug,p_value,beta_per_10ug,ci_low_per_10ug,ci_high_per_10ug,n_rows,n_participants,converged,status,notes
Garmin-derived average heart rate,PM1,60,unadjusted,0.012669452957173718,0.010579827943610101,-0.008067009812302081,0.03340591572664952,0.23110771451598844,0.12669452957173719,-0.08067009812302081,0.3340591572664952,10000,125,True,PASS,Unstandardized PM predictor; coefficient is beta per 1 ug/m3 and per-10 scale is 10x.
Garmin-derived average heart rate,PM1,60,adjusted,0.012353044745914615,0.009503324179896112,-0.0062734706466817634,0.030979560138510994,0.1936470169156671,0.12353044745914615,-0.06273470646681764,0.3097956013851099,10000,125,True,PASS,Unstandardized PM predictor; coefficient is beta per 1 ug/m3 and per-10 scale is 10x.
Garmin-derived average heart rate,PM2.5,60,unadjusted,0.020739459405180835,0.008082279403370422,0.00489819177457481,0.03658072703578686,0.010286670204708382,0.20739459405180835,0.0489819177457481,0.3658072703578686,10000,125,True,PASS,Unstandardized PM predictor; coefficient is beta per 1 ug/m3 and per-10 scale is 10x.
Garmin-derived average heart rate,PM2.5,60,adjusted,0.008668603188024496,0.007256183875635482,-0.005553517208221049,0.02289072358427004,0.23222363715828642,0.08668603188024496,-0.05553517208221049,0.2289072358427004,10000,125,True,PASS,Unstandardized PM predictor; coefficient is beta per 1 ug/m3 and per-10 scale is 10x.
Garmin-derived average heart rate,PM10,60,unadjusted,0.021549176535105935,0.00773161968029215,0.006395201961733321,0.03670315110847855,0.005317401359578323,0.21549176535105935,0.06395201961733321,0.3670315110847855,10000,125,True,PASS,Unstandardized PM predictor; coefficient is beta per 1 ug/m3 and per-10 scale is 10x.
Garmin-derived average heart rate,PM10,60,adjusted,0.009976177828587486,0.007038130827685418,-0.0038185585936759327,0.023770914250850907,0.15635226290020354,0.09976177828587486,-0.03818558593675933,0.23770914250850905,10000,125,True,PASS,Unstandardized PM predictor; coefficient is beta per 1 ug/m3 and per-10 scale is 10x.
Garmin-derived stress index,PM1,60,unadjusted,0.01824389696957841,0.01585129824569622,-0.01282464759198618,0.049312441531143,0.24975682256504717,0.1824389696957841,-0.1282464759198618,0.49312441531143003,10000,120,True,PASS,Unstandardized PM predictor; coefficient is beta per 1 ug/m3 and per-10 scale is 10x.
Garmin-derived stress index,PM1,60,adjusted,0.01617237029035737,0.014603825227300134,-0.012451127155150895,0.044795867735865635,0.26811823735277984,0.16172370290357369,-0.12451127155150896,0.44795867735865635,10000,120,True,PASS,Unstandardized PM predictor; coefficient is beta per 1 ug/m3 and per-10 scale is 10x.
Garmin-derived stress index,PM2.5,60,unadjusted,0.02291668216398973,0.012002345998868274,-0.0006079159937920874,0.04644128032177154,0.05621692584209862,0.2291668216398973,-0.0060791599379208736,0.4644128032177154,10000,120,True,PASS,Unstandardized PM predictor; coefficient is beta per 1 ug/m3 and per-10 scale is 10x.
Garmin-derived stress index,PM2.5,60,adjusted,0.0003294053669592161,0.011077047462852844,-0.02138160766023236,0.022040418394150788,0.9762762843659858,0.003294053669592161,-0.2138160766023236,0.22040418394150788,10000,120,True,PASS,Unstandardized PM predictor; coefficient is beta per 1 ug/m3 and per-10 scale is 10x.
Garmin-derived stress index,PM10,60,unadjusted,0.012542446777244719,0.011486186138972987,-0.009970478055142333,0.03505537160963177,0.27485102913278936,0.1254244677724472,-0.09970478055142333,0.3505537160963177,10000,120,True,PASS,Unstandardized PM predictor; coefficient is beta per 1 ug/m3 and per-10 scale is 10x.
Garmin-derived stress index,PM10,60,adjusted,-0.012046663469281686,0.010711427921044922,-0.033041062194529736,0.008947735255966361,0.2607351585611515,-0.12046663469281685,-0.33041062194529736,0.0894773525596636,10000,120,True,PASS,Unstandardized PM predictor; coefficient is beta per 1 ug/m3 and per-10 scale is 10x.
