city,season,pollutant,endpoint,metric,value_type,value,scenario_key,status,notes
Milan,Summer,PM10,Mortality all causes,YLL,mean,4329.9754962934285,Milan_Summer_PM10_Mortality all causes,PASS,Aggregate Figure 12 YLL plot data; no figure file was created.
Milan,Summer,PM10,Mortality all causes,YLL,median,4206.86145873081,Milan_Summer_PM10_Mortality all causes,PASS,Aggregate Figure 12 YLL plot data; no figure file was created.
Milan,Summer,PM10,Mortality all causes,YLL,p025,2033.8719816166374,Milan_Summer_PM10_Mortality all causes,PASS,Aggregate Figure 12 YLL plot data; no figure file was created.
Milan,Summer,PM10,Mortality all causes,YLL,p975,7332.635182337516,Milan_Summer_PM10_Mortality all causes,PASS,Aggregate Figure 12 YLL plot data; no figure file was created.
Milan,Summer,PM2.5,Mortality all causes,YLL,mean,5378.51447899339,Milan_Summer_PM2.5_Mortality all causes,PASS,Aggregate Figure 12 YLL plot data; no figure file was created.
Milan,Summer,PM2.5,Mortality all causes,YLL,median,5322.900591882898,Milan_Summer_PM2.5_Mortality all causes,PASS,Aggregate Figure 12 YLL plot data; no figure file was created.
Milan,Summer,PM2.5,Mortality all causes,YLL,p025,3277.998979830676,Milan_Summer_PM2.5_Mortality all causes,PASS,Aggregate Figure 12 YLL plot data; no figure file was created.
Milan,Summer,PM2.5,Mortality all causes,YLL,p975,7823.429859211064,Milan_Summer_PM2.5_Mortality all causes,PASS,Aggregate Figure 12 YLL plot data; no figure file was created.
Milan,Winter,PM10,Mortality all causes,YLL,mean,10068.046576975601,Milan_Winter_PM10_Mortality all causes,PASS,Aggregate Figure 12 YLL plot data; no figure file was created.
Milan,Winter,PM10,Mortality all causes,YLL,median,9947.84986274031,Milan_Winter_PM10_Mortality all causes,PASS,Aggregate Figure 12 YLL plot data; no figure file was created.
Milan,Winter,PM10,Mortality all causes,YLL,p025,6076.718815537473,Milan_Winter_PM10_Mortality all causes,PASS,Aggregate Figure 12 YLL plot data; no figure file was created.
Milan,Winter,PM10,Mortality all causes,YLL,p975,14780.848947567107,Milan_Winter_PM10_Mortality all causes,PASS,Aggregate Figure 12 YLL plot data; no figure file was created.
Milan,Winter,PM2.5,Mortality all causes,YLL,mean,9201.35027818005,Milan_Winter_PM2.5_Mortality all causes,PASS,Aggregate Figure 12 YLL plot data; no figure file was created.
Milan,Winter,PM2.5,Mortality all causes,YLL,median,9142.070020246916,Milan_Winter_PM2.5_Mortality all causes,PASS,Aggregate Figure 12 YLL plot data; no figure file was created.
Milan,Winter,PM2.5,Mortality all causes,YLL,p025,5849.262640370494,Milan_Winter_PM2.5_Mortality all causes,PASS,Aggregate Figure 12 YLL plot data; no figure file was created.
Milan,Winter,PM2.5,Mortality all causes,YLL,p975,12938.51500420336,Milan_Winter_PM2.5_Mortality all causes,PASS,Aggregate Figure 12 YLL plot data; no figure file was created.
Thessaloniki,Summer,PM10,Mortality all causes,YLL,mean,6682.051528770206,Thessaloniki_Summer_PM10_Mortality all causes,PASS,Aggregate Figure 12 YLL plot data; no figure file was created.
Thessaloniki,Summer,PM10,Mortality all causes,YLL,median,6473.911305508087,Thessaloniki_Summer_PM10_Mortality all causes,PASS,Aggregate Figure 12 YLL plot data; no figure file was created.
Thessaloniki,Summer,PM10,Mortality all causes,YLL,p025,2934.4471308302614,Thessaloniki_Summer_PM10_Mortality all causes,PASS,Aggregate Figure 12 YLL plot data; no figure file was created.
Thessaloniki,Summer,PM10,Mortality all causes,YLL,p975,11689.032267982768,Thessaloniki_Summer_PM10_Mortality all causes,PASS,Aggregate Figure 12 YLL plot data; no figure file was created.
Thessaloniki,Summer,PM2.5,Mortality all causes,YLL,mean,7074.432897881374,Thessaloniki_Summer_PM2.5_Mortality all causes,PASS,Aggregate Figure 12 YLL plot data; no figure file was created.
Thessaloniki,Summer,PM2.5,Mortality all causes,YLL,median,6919.183507021855,Thessaloniki_Summer_PM2.5_Mortality all causes,PASS,Aggregate Figure 12 YLL plot data; no figure file was created.
Thessaloniki,Summer,PM2.5,Mortality all causes,YLL,p025,4076.7078021607135,Thessaloniki_Summer_PM2.5_Mortality all causes,PASS,Aggregate Figure 12 YLL plot data; no figure file was created.
Thessaloniki,Summer,PM2.5,Mortality all causes,YLL,p975,10935.307402190443,Thessaloniki_Summer_PM2.5_Mortality all causes,PASS,Aggregate Figure 12 YLL plot data; no figure file was created.
Thessaloniki,Winter,PM10,Mortality all causes,YLL,mean,10228.648619740889,Thessaloniki_Winter_PM10_Mortality all causes,PASS,Aggregate Figure 12 YLL plot data; no figure file was created.
Thessaloniki,Winter,PM10,Mortality all causes,YLL,median,10065.774676667294,Thessaloniki_Winter_PM10_Mortality all causes,PASS,Aggregate Figure 12 YLL plot data; no figure file was created.
Thessaloniki,Winter,PM10,Mortality all causes,YLL,p025,6051.099512724845,Thessaloniki_Winter_PM10_Mortality all causes,PASS,Aggregate Figure 12 YLL plot data; no figure file was created.
Thessaloniki,Winter,PM10,Mortality all causes,YLL,p975,15409.85082391405,Thessaloniki_Winter_PM10_Mortality all causes,PASS,Aggregate Figure 12 YLL plot data; no figure file was created.
Thessaloniki,Winter,PM2.5,Mortality all causes,YLL,mean,10281.048584727672,Thessaloniki_Winter_PM2.5_Mortality all causes,PASS,Aggregate Figure 12 YLL plot data; no figure file was created.
Thessaloniki,Winter,PM2.5,Mortality all causes,YLL,median,10176.590907545866,Thessaloniki_Winter_PM2.5_Mortality all causes,PASS,Aggregate Figure 12 YLL plot data; no figure file was created.
Thessaloniki,Winter,PM2.5,Mortality all causes,YLL,p025,6510.153250886146,Thessaloniki_Winter_PM2.5_Mortality all causes,PASS,Aggregate Figure 12 YLL plot data; no figure file was created.
Thessaloniki,Winter,PM2.5,Mortality all causes,YLL,p975,14609.174436212015,Thessaloniki_Winter_PM2.5_Mortality all causes,PASS,Aggregate Figure 12 YLL plot data; no figure file was created.
